score,age,x,y,z,accepted_school_id
306.773,5869,-291.61375410119297,948.2465791799755,-117.40557485741651,54ff9351-a740-4337-bd4c-cd79560a1e5d
393.0,5437,-302.7098366746013,949.1364851669377,-120.83649162845009,7d84a1fa-9c87-425f-b545-95be41b95d4e
384.483,5595,-294.9199714735917,949.8980760501654,-117.51717146616153,1be1d45e-4ef6-4891-b582-949b2cb06537
375.34,5790,-300.60944939670514,945.3474153761118,-110.31651316849899,7182bab9-2b95-476d-9b54-e43463a08469
435.994,5329,-288.3449482780986,944.5874401650876,-115.54664373750796,8bb4f850-4173-4f1b-851a-88ee682a7651
413.191,5490,-297.43884086590634,954.1762986109653,-118.59241825373745,9ef5a594-f79b-4e5e-8846-af2c46afa568
445.939,5513,-289.84648384264625,947.239507554583,-114.8604027752686,10d4aa0c-1729-4524-9ce8-a9b0036643d6
410.951,5394,-313.400318830104,938.4038099340348,-117.2520663157291,6a9859da-2d98-472d-ab90-e2147cf749ae
387.911,5706,-283.8347309895864,948.1197320416331,-106.53366623029336,02781d05-70a1-4ae4-9838-be630a75c80e
395.936,5854,-292.5366987592299,951.1525615283393,-127.2664481393228,54ff9351-a740-4337-bd4c-cd79560a1e5d
390.475,5881,-297.05212023038285,948.6340122040061,-116.23302050878944,8bb4f850-4173-4f1b-851a-88ee682a7651
406.63,6237,-309.0738609124642,945.9335164886841,-117.36453712357368,1be1d45e-4ef6-4891-b582-949b2cb06537
414.444,5713,-305.6837326202746,945.0845989597931,-128.41089649749514,1be1d45e-4ef6-4891-b582-949b2cb06537
406.591,5552,-291.6628001789862,955.044193248809,-118.92924398182235,54ff9351-a740-4337-bd4c-cd79560a1e5d
381.3,5803,-303.18846357538257,945.7478814326107,-98.54709509887235,9af24eef-3fc0-467a-bee8-1f3fb13a0b40
387.905,5462,-315.55396734003256,940.2380241349547,-118.07650219773106,6a9859da-2d98-472d-ab90-e2147cf749ae
395.49,5449,-299.8341867321253,943.5151855682602,-98.612867390774,6e530048-6c29-48a7-89d9-c5e969cf6547
402.771,5756,-303.08845406860274,951.5779802050037,-115.72070770544998,1225a3be-6f20-4c14-b6a3-6e3a4c848983
378.874,5889,-287.83130539074125,946.8846253451251,-116.31943902908031,1e147ea6-9ebc-4be2-962e-55cd7b6dce88
388.54,5528,-289.8714220223146,953.5155522774477,-104.2977315236082,54ff9351-a740-4337-bd4c-cd79560a1e5d
393.288,5681,-300.77962737978834,950.3144908011925,-119.06711923617642,1be1d45e-4ef6-4891-b582-949b2cb06537
431.303,5669,-306.5552912752131,945.7256461565681,-119.26015538962285,ab7b150d-5cd9-4d54-8674-4eb0a9177546
389.815,5571,-295.1933057440203,950.1346664364061,-100.36989054268975,bca7ed86-9c25-48bc-992a-4e6f6d1fda1b
410.84,5659,-314.6176169913317,944.0457341127054,-120.33847266835609,06a3b90f-15a3-45a9-8263-b31bfc32fcdb
380.73,5854,-304.1866237222748,949.501108593947,-104.22869947585889,bca7ed86-9c25-48bc-992a-4e6f6d1fda1b
416.098,5341,-311.0537512725016,944.3438664144209,-107.89110154582511,1be1d45e-4ef6-4891-b582-949b2cb06537
338.597,5518,-315.67050949580204,954.4136635780354,-108.13239754933707,543a5166-05b5-4a26-8d70-4bbc7ce70dd4
382.51,5643,-312.19928661863975,943.6890487434478,-124.02148752244737,19aea2e9-ef14-419f-9d5b-7f4fdc9d540d
387.911,5557,-295.320993404613,957.5841848201753,-112.47026176987042,cb38bc92-1531-4941-b4e4-f0f8c4dd7929
410.403,5566,-304.392328565114,948.5544210502211,-105.24366547051476,1be1d45e-4ef6-4891-b582-949b2cb06537
434.725,5844,-295.13115694047804,948.3153434366318,-127.54023774985107,ea43efea-88c0-4d78-8b33-213e3269c1b6
390.589,5523,-300.65048210881343,951.7821811698026,-123.29721275926403,bb2fddda-1d2a-46ca-aa59-a650cf0ed1a7
392.118,5333,-302.28267326385577,953.5748257949747,-112.97867311133226,bb2fddda-1d2a-46ca-aa59-a650cf0ed1a7
399.0,5461,-295.44386741447664,953.1144330097259,-109.69628449609101,957444fb-faa9-4bab-970e-c767c216507a
383.663,5592,-301.6096811929074,954.964184947686,-110.40244682265497,cb38bc92-1531-4941-b4e4-f0f8c4dd7929
411.352,5277,-310.425441233056,948.6946632665683,-118.89894012660564,44b22fa7-9ef1-43ff-aaa8-e5644cd3d055
